,Fund,1yr,2yr,3yr,7yr,10yr
0,fundOIEIX,-1.38116,2.38787,13.9658,9.51689,9.7462
1,fundJLGRX,-0.273622,-5.52802,13.3733,17.2703,15.4352
2,fundJGASX,-3.22,-6.96265,13.1889,15.6401,15.4117
3,fundFBGRX,-2.84775,-9.80218,13.7036,16.0034,15.4259
4,fundPEMPX,-2.7404,-7.56515,0.412597,1.95308,1.1807
5,fundGSCGX,1.82758,-0.958647,13.8049,12.6777,12.3142
6,fundGGOIX,-1.15703,-10.9606,8.80132,10.4123,9.93794
7,fundVEIPX,0.179058,4.5908,14.5077,9.83061,10.0803
8,fundGPIRX,-1.33814,-3.20388,6.81077,5.3373,4.6077
9,fundVIVIX,-0.507799,3.6657,14.9412,10.0613,10.3186
